date,username,goal,sport,fatigue,training_load,calories,weight,sleep,bmi,hr_mean,performance_score
2026-05-04 12:51:57,Naufal,cutting,mma,70.81995643000364,600,920.0,92,7.0,34.20582986317669,120,70.48571428571428
2026-05-04 12:59:29,Naufal,cutting,mma,70.81995643000364,600,920.0,92,7.0,34.20582986317669,120,70.48571428571428
2026-05-05 18:05:18,Naufal,cutting,strength_training,70.79726094279755,360,552.0,92,7.0,34.20582986317669,100,69.05333333333334
2026-05-06 20:54:29,Naufal,cutting,mma,70.81995643000364,600,920.0,92,7.0,34.20582986317669,120,70.48571428571428
2026-05-06 20:56:09,Naufal,cutting,mma,70.81995643000364,600,920.0,92,7.0,34.20582986317669,120,70.48571428571428
2026-05-06 21:00:44,Naufal,cutting,mma,70.81995643000364,600,920.0,92,7.0,34.20582986317669,120,70.48571428571428
2026-05-06 21:02:04,Naufal,cutting,mma,70.81995643000364,600,920.0,92,7.0,34.20582986317669,120,70.48571428571428
2026-05-06 21:02:50,Naufal,cutting,mma,70.81995643000364,600,920.0,92,7.0,34.20582986317669,120,70.48571428571428
2026-05-07 15:22:02,Naufal,cutting,mma,70.81995643000364,600,828.0,92,7.0,34.20582986317669,120,70.48571428571428
2026-05-07 15:32:02,Naufal,cutting,mma,70.81995643000364,600,828.0,92,7.0,34.20582986317669,120,70.48571428571428
2026-05-07 15:32:26,Naufal,cutting,mma,86.44897933206383,1200,1656.0,92,7.0,34.20582986317669,120,71.68571428571428
2026-05-08 11:37:39,Naufal,cutting,mma,70.81995643000364,600,828.0,92,7.0,34.20582986317669,120,70.48571428571428
2026-05-08 11:40:03,Naufal,bulking,mma,71.10355109747647,600,1012.0000000000001,92,7.0,34.20582986317669,120,70.48571428571428
2026-05-08 22:26:19,Naufal,cutting,mma,70.81995643000364,600,810.0,90,7.0,33.462224866151104,120,70.48571428571428
2026-06-02 22:28:40,prima,cutting,running,57.48069771619138,240,259.2,72,6.0,25.209201358495854,110,64.32615384615384
2026-06-02 22:29:33,prima,cutting,strength_training,57.48069771619138,180,194.4,72,6.0,25.209201358495854,100,63.693333333333335
2026-06-02 22:30:03,prima,cutting,strength_training,57.308171860738774,180,189.0,70,6.0,24.508945765204302,100,63.693333333333335
